,initial_accuracy,final_accuracy,genealogy,net_depth_min,net_depth_max,net_depth_avg,num_conv_layers,num_inception_modules,num_pooling_layers,num_IP_layers,min_IP_neurons,max_IP_neurons,avg_IP_neurons,min_IP_weights,max_IP_weights,avg_IP_weights,num_splits,min_split_width,max_split_width,avg_split_width,num_concats,min_concat_width,max_concat_width,avg_concat_width,min_conv_ker_area,max_conv_ker_area,avg_conv_ker_area,num_conv_features,num_conv_features,avg_num_conv_features,prop_conv_into_pool,prop_pool_into_pool,prop_padded_conv,prop_same_padded_conv,prop_1x1_conv,prop_square_kernels,prop_horiz_kernels,prop_vert_kernels,num_relu,num_sigmoid,num_tanh,num_max_pool,num_avg_pool,num_stochastic_pool,min_grid_reduction_area_consecutive,max_grid_reduction_area_consecutive,avg_grid_reduction_area_consecutive,min_grid_reduction_height_consecutive,max_grid_reduction_height_consecutive,avg_grid_reduction_height_consecutive,min_grid_reduction_width_consecutive,max_grid_reduction_width_consecutive,avg_grid_reduction_width_consecutive,min_grid_reduction_area_total,max_grid_reduction_area_total,avg_grid_reduction_area_total,min_grid_reduction_height_total,max_grid_reduction_height_total,avg_grid_reduction_height_total,min_grid_reduction_width_total,max_grid_reduction_width_total,avg_grid_reduction_width_total,prop_nonoverlapping,min_stride_h,max_stride_h,avg_stride_h,min_stride_w,max_stride_w,avg_stride_w,min_ratio_features_to_depth,max_ratio_features_to_depth,avg_ratio_features_to_depth,min_ratio_features_to_kerArea,max_ratio_features_to_kerArea,avg_ratio_features_to_kerArea,min_ratio_features_to_kerWidth,max_ratio_features_to_kerWidth,avg_ratio_features_to_kerWidth,min_ratio_features_to_kerHeight,max_ratio_features_to_kerHeight,avg_ratio_features_to_kerHeight,min_ratio_kerArea_to_depth,max_ratio_kerArea_to_depth,avg_ratio_kerArea_to_depth,min_ratio_kerWidth_to_depth,max_ratio_kerWidth_to_depth,avg_ratio_kerWidth_to_depth,min_ratio_kerHeight_to_depth,max_ratio_kerHeight_to_depth,avg_ratio_kerHeight_to_depth
00005_00006_00004,0.00285,0.6584,00005,8,9,8.75,16,2,6,0,8,8,8.0,4096,4096,4096.0,5,2,5,3.6,7,2,4,2.5714285714285716,1.0,504.0,62.0,16.0,128.0,62.0,0.375,0.0,0.375,0.0,0.625,0.7272727272727273,0.09090909090909091,0.18181818181818182,16,0,0,6,0,0,0.040000000000000036,0.9704516673701984,0.3191315266571642,0.030303030303030276,0.5145631067961165,0.16788767169121255,0.0,0.9391304347826087,0.2352254428341385,0.972,0.972,0.972,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.9125,0.9125,0.9125,0.0,1,2,1.1666666666666667,1,13,3.0,2.0,85.33333333333333,47.52380952380952,0.06349206349206349,96.0,39.94571428571429,0.4444444444444444,96.0,44.18888888888889,4.571428571428571,96.0,44.70476190476191,0.3333333333333333,504.0,64.29166666666666,0.3333333333333333,72.0,9.479166666666666,0.3333333333333333,7.0,1.3541666666666665
00005_00008_01559,0.00285,0.4385,00005,8,9,8.75,8,1,6,0,8,8,8.0,2048,2048,2048.0,4,2,4,3.0,6,2,4,2.3333333333333335,1.0,25.0,70.0,16.0,128.0,70.0,0.5,0.0,0.5,0.0,0.5,0.5714285714285714,0.2857142857142857,0.14285714285714285,8,0,0,5,1,0,0.03289473684210531,0.4585,0.14865515690485878,0.0,0.43000000000000005,0.0982515340074324,0.015625,0.16000000000000003,0.05498402985902988,0.5589999999999999,0.5589999999999999,0.5589999999999999,0.43999999999999995,0.43999999999999995,0.43999999999999995,0.21250000000000002,0.21250000000000002,0.21250000000000002,0.0,1,1,1.0,1,1,1.0,2.6666666666666665,128.0,80.66666666666667,1.28,96.0,30.93777777777778,6.4,96.0,38.13333333333333,6.4,96.0,44.13333333333333,0.5,8.333333333333334,3.666666666666667,0.5,4.0,1.5833333333333335,0.5,2.0,1.0833333333333335
00005_00009_01898,,,00005,7,8,7.75,16,2,4,0,8,8,8.0,4096,4096,4096.0,5,2,4,3.2,7,2,4,2.5714285714285716,1.0,49.0,54.5,16.0,128.0,54.5,0.25,0.0,0.5,0.0,0.5,0.9,0.0,0.0,16,0,0,4,0,0,0.07859078590785906,0.7660545092993333,0.3915760543830242,0.05555555555555558,0.6730769230769231,0.31243375569550086,0.024390243902439046,0.5180722891566265,0.1478484786999333,0.915,0.915,0.915,0.83,0.83,0.83,0.5,0.5,0.5,0.0,1,3,1.5,1,2,1.1666666666666667,2.0,85.33333333333333,38.95238095238095,0.6530612244897959,96.0,28.199410430839002,4.571428571428571,96.0,33.6047619047619,4.571428571428571,96.0,33.6047619047619,0.3333333333333333,49.0,8.916666666666668,0.3333333333333333,7.0,1.6041666666666665,0.3333333333333333,7.0,1.6041666666666665
00005_00008_00358,0.00285,0.3882,00005,7,7,7.0,2,0,8,0,8,8,8.0,1536,1536,1536.0,3,2,4,2.6666666666666665,5,2,2,2.0,42.0,42.0,96.0,96.0,96.0,96.0,1.0,0.5,1.0,0.0,0.0,0.2,0.6,0.0,0,2,0,8,0,0,0.013333333333333308,0.6982650238873522,0.2328165119466114,0.0,0.6701030927835052,0.19202061855670105,0.013333333333333308,0.09859154929577463,0.05756625536563702,0.7,0.7,0.7,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.0625,0.0625,0.0625,0.0,1,3,1.4,1,1,1.0,4.0,96.0,65.33333333333333,2.2857142857142856,2.2857142857142856,2.2857142857142856,6.857142857142857,6.857142857142857,6.857142857142857,32.0,32.0,32.0,42.0,42.0,42.0,14.0,14.0,14.0,3.0,3.0,3.0
00006_00005_02303,0.00285,0.3392,00006,14,16,15.5,24,3,12,0,8,8,8.0,2048,2048,2048.0,6,2,4,3.3333333333333335,8,2,4,2.75,1.0,49.0,62.0,16.0,128.0,62.0,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.7777777777777778,0.05555555555555555,0.0,22,0,0,11,1,0,0.05555555555555558,0.9204585331617733,0.19419443443921666,0.0,0.8349514563106796,0.14661839493078782,0.02857142857142858,0.5180722891566265,0.09387461607786407,0.944,0.944,0.944,0.86,0.86,0.86,0.6,0.6,0.6,0.0,1,6,1.5,1,2,1.1,1.3333333333333333,64.0,39.38666666666667,0.6530612244897959,128.0,41.325532879818596,4.571428571428571,128.0,45.84761904761905,4.571428571428571,128.0,45.84761904761905,0.16666666666666666,49.0,5.032936507936507,0.16666666666666666,7.0,0.9448412698412699,0.16666666666666666,7.0,0.9448412698412699
00006_00007_01826,0.00285,0.3392,00006,10,11,10.75,12,1,6,0,8,8,8.0,2048,2048,2048.0,4,2,4,3.0,6,2,4,2.3333333333333335,1.0,294.0,54.833333333333336,16.0,128.0,54.833333333333336,0.5,0.0,0.5,0.0,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.3333333333333333,8,4,0,6,0,0,0.040000000000000036,0.9514563106796117,0.33383507182970495,0.040000000000000036,0.5145631067961165,0.1953367423948742,0.0,0.9,0.21356421356421354,0.976375,0.976375,0.976375,0.79,0.79,0.79,0.8875,0.8875,0.8875,0.14285714285714285,1,2,1.2857142857142858,1,8,2.0,1.6,64.0,26.95,0.10884353741496598,96.0,22.997492441421013,0.7619047619047619,96.0,30.257539682539683,4.571428571428571,96.0,31.600793650793648,0.25,294.0,50.26111111111111,0.25,42.0,7.522222222222222,0.25,7.0,1.6611111111111112
00006_00006_00005,0.00285,0.65665,00006,9,10,9.75,14,1,3,0,8,8,8.0,2048,2048,2048.0,4,2,4,3.0,6,2,4,2.3333333333333335,1.0,49.0,62.857142857142854,16.0,128.0,62.857142857142854,0.21428571428571427,0.0,0.2857142857142857,0.0,0.7142857142857143,0.8823529411764706,0.0,0.0,10,2,0,3,0,0,0.14814814814814814,0.908,0.5583436164135661,0.04166666666666663,0.54,0.3246370781322238,0.11111111111111116,0.8,0.43690954293363937,0.977,0.977,0.977,0.77,0.77,0.77,0.9,0.9,0.9,0.0,1,2,1.2857142857142858,1,2,1.2857142857142858,1.3333333333333333,51.2,26.053333333333335,0.6530612244897959,96.0,48.05773890508584,4.571428571428571,96.0,51.01496598639456,4.571428571428571,96.0,51.01496598639456,0.2,49.0,7.616666666666666,0.2,7.0,1.3071428571428572,0.2,7.0,1.3071428571428572
00006_00008_00900,0.00285,0.3392,00006,12,14,13.5,25,3,6,0,8,8,8.0,232,232,232.0,6,2,5,3.6666666666666665,8,2,4,2.75,1.0,112.0,65.8,16.0,128.0,65.8,0.24,0.0,0.4,0.0,0.6,0.7741935483870968,0.16129032258064516,0.06451612903225806,20,2,0,5,1,0,0.09523809523809523,0.9241156120968642,0.44862595269152716,0.0,0.9117647058823529,0.36645845231296403,0.050000000000000044,0.7701149425287357,0.16418416731483884,0.994375,0.994375,0.994375,0.97,0.97,0.97,0.8125,0.8125,0.8125,0.0,1,3,1.25,1,4,1.375,1.1428571428571428,64.0,40.106926406926405,0.2857142857142857,96.0,37.73112380952381,2.0,96.0,41.896,4.571428571428571,128.0,50.29371428571429,0.125,112.0,10.036619047619048,0.125,16.0,1.7920476190476193,0.125,7.0,0.9120476190476191
00006_00009_00441,0.00285,0.5767,00006,9,10,9.75,12,1,5,0,8,8,8.0,2048,2048,2048.0,4,2,4,3.0,6,2,4,2.3333333333333335,1.0,504.0,42.666666666666664,1.0,128.0,42.666666666666664,0.4166666666666667,0.0,0.5,0.0,0.5,0.6470588235294118,0.23529411764705882,0.11764705882352941,10,0,0,5,0,0,0.15384615384615385,0.9903614457831326,0.5197445570939547,0.0,0.9703703703703703,0.3734006734006734,0.07407407407407407,0.6746987951807228,0.28415916970133837,0.99725,0.99725,0.99725,0.98,0.98,0.98,0.8625,0.8625,0.8625,0.0,1,30,6.2727272727272725,1,3,1.5454545454545454,0.3333333333333333,64.0,22.03333333333333,0.07738095238095238,96.0,24.0269708994709,0.3333333333333333,96.0,27.739682539682537,0.5416666666666666,96.0,27.012500000000003,0.25,504.0,84.89999999999999,0.25,7.0,1.6333333333333335,0.25,72.0,12.355555555555554
00008_00007_02757,,,00008,10,10,10.0,8,0,7,0,8,8,8.0,1536,1536,1536.0,3,2,4,2.6666666666666665,5,2,2,2.0,1.0,116.0,69.5,32.0,96.0,69.5,0.625,0.2857142857142857,0.5,0.0,0.5,0.4,0.26666666666666666,0.26666666666666666,2,2,0,4,3,0,0.048868657116079794,0.2930852930852931,0.14600185358594595,0.010309278350515427,0.19791666666666663,0.07182993320824427,0.0,0.28378378378378377,0.0759248678631183,0.11199999999999999,0.11199999999999999,0.11199999999999999,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.07499999999999996,0.07499999999999996,0.07499999999999996,0.0,1,1,1.0,1,1,1.0,1.6,54.0,28.177777777777777,0.8275862068965517,54.0,23.04022988505747,16.0,54.0,31.5,3.310344827586207,54.0,30.327586206896555,0.5,38.666666666666664,11.166666666666666,0.5,1.5,1.0833333333333333,0.5,9.666666666666666,2.9791666666666665
